anio,mes,recaudacion,emae,ipc_argentina,ipc_cordoba,ipc_tucuman,ipc_santafe,ipc_gba,ipc_mendoza,exportaciones,importaciones,dolar_blue,dolar_oficial,monedas_publico,ingresos_familiares
1982,12,,,,,0.0973530834619548,,,5.548696060855405e-06,,,,,,
1983,1,,,,,0.162380602498163,,,6.172931341318651e-06,,,,,,
1983,2,,,,,0.1362651255192342,,,7.160567168665079e-06,,,,,,
1983,3,,,,,0.1186521497258206,,,7.897825111737521e-06,,,,,,
1983,4,,,,,0.0960500142085818,,,8.52381988941643e-06,,,,,,
1983,5,,,,,0.0947627689914441,,,9.62726782617737e-06,,,,,,
1983,6,,,,,0.1784487862640617,,,1.1529084048330266e-05,,,,,,
1983,7,,,,,0.1147508038585207,,,1.2696632042191804e-05,,,,,,
1983,8,,,,,0.1959167117360736,,,1.5016521968612054e-05,,,,,,
1983,9,,,,,0.2432636140945921,,,1.8456553598058905e-05,,,,,,
1983,10,,,,,0.1714762049105788,,,2.158545462229754e-05,,,,,,
1983,11,,,,,0.185551271767537,,,2.6254559428732383e-05,,,,,,
1983,12,,,,,0.1293814657994675,,,3.000514946917096e-05,,,,,,
1984,1,,,,,0.0845282727167316,,,3.3458627662704963e-05,,,,,,
1984,2,,,,,0.1777619387027798,,,3.898816952216388e-05,,,,,,
1984,3,,,,,0.2199376664245945,,,4.801667901536653e-05,,,,,,
1984,4,,,,,0.2164250368955639,,,5.967284739917587e-05,,,,,,
1984,5,,,,,0.2017862240528525,,,7.114233741986027e-05,,,,,,
1984,6,,,,,0.1756252332960059,,,8.383618001524677e-05,,,,,,
1984,7,,,,,0.1402747910923812,,,9.66327314724905e-05,,,,,,
1984,8,,,,,0.2747299341210125,,,0.0001148405236349,,,,,,
1984,9,,,,,0.2755561512989688,,,0.0001464373743657,,,,,,
1984,10,,,,,0.1749593280764709,,,0.0001719701107904,,,,,,
1984,11,,,,,0.1528618324074903,,,0.0001974041437127,,,,,,
1984,12,,,,,0.2168926024468873,,,0.0002304183195178,,,,,,
1985,1,,,,,0.0046042689837552,,,0.000276844727757,,,,,,
1985,2,,,,,0.4738524455308248,,,0.000338389937681,,,,,,
1985,3,,,,,0.2393793455380493,,,0.000413008354966,,,,,,
1985,4,,,,,0.2767791659697114,,,0.0005463024281793,,,,,,
1985,5,,,,,0.2696563539252241,,,0.0007067213682247,,,,,,
1985,6,,,,,0.2430945804362322,,,0.000910589876098,,,,,,
1985,7,,,,,0.0326980174312804,,,0.0009467697164057,,,,,,
1985,8,,,,,0.0209848147598556,,,0.0009806293091656,,,,,,
1985,9,,,,,0.0593229576697147,,,0.0010077813552229,,,,,,
1985,10,,,,,0.0210946343025049,,,0.0010250616205605,,,,,,
1985,11,,,,,0.0229878622295875,,,0.0010478378113472,,,,,,
1985,12,,,,,0.0331979728768292,,,0.0010718542330982,,,,,,
1986,1,,,,,0.0394993325846982,,,0.0010965544269379,,,,,,
1986,2,,,,,0.0251369461642333,,,0.0011458661245137,,,,,,
1986,3,,,,,0.0594945769418127,,,0.0011902483689146,,,,,,
1986,4,,,,,0.0600055360854247,,,0.0012439001596223,,,,,,
1986,5,,,,,0.0268260621323643,,,0.0012909860216961,,,,,,
1986,6,,,,,0.0496340485693842,,,0.0013457836313223,,,,,,
1986,7,,,,,0.0663824929264555,,,0.0014274443289265,,,,,,
1986,8,,,,,0.0864301172991166,,,0.0015671712956186,,,,,,
1986,9,,,,,0.0757225597436569,,,0.0016851977966509,,,,,,
1986,10,,,,,0.050322091701402,,,0.0017904100082052,,,,,,
1986,11,,,,,0.04591899158293,,,0.0018854228578508,,,,,,
1986,12,,,,,0.01137392994475,,,0.0019583204010297,,,,,,
1987,1,,,,,0.1029520798609669,,,0.0020903828261921,,,,,,
1987,2,,,,,0.0812046248991665,,,0.0022336173434312,,,,,,
1987,3,,,,,0.0840586918676945,,,0.0024178066617145,,,,,,
1987,4,,,,,0.050929112181693,,,0.0025123188414207,,,,,,
1987,5,,,,,0.0451866404715127,,,0.002644724583113,,,,,,
1987,6,,,,,0.0695488721804511,,,0.0028446206326385,,,,,,
1987,7,,,,,0.0970513571568053,,,0.003122106217918,,,,,,
1987,8,,,,,0.1320754716981133,,,0.0034723176881114,,,,,,
1987,9,,,,,0.1386792452830188,,,0.0039452791225941,,,,,,
1987,10,,,,,0.1934548467274232,,,0.0046576752269607,,,,,,
1987,11,,,,,0.0785606849473563,,,0.0050768074905285,,,,,,
1987,12,,,,,0.0299291997425444,,,0.0053200186422412,,,,,,
1988,1,,,,,0.1032184147484637,,,0.0057564025614357,,,,,,
1988,2,,,,,0.1573829305135951,,,0.0063736427676026,,,,,,
1988,3,,,,,0.1496043722979034,,,0.0074011605318373,,,,,,
1988,4,,,,,0.1550415099694884,,,0.0084937081687744,,,,,,
